,date,fees
0,2018-01-01,0.129672797840027
1,2018-01-02,0.18313565217391306
2,2018-01-03,0.22387906137184116
3,2018-01-04,0.27202970297029705
4,2018-01-05,0.5955551394869876
5,2018-01-06,0.6724261447562776
6,2018-01-07,0.5264797395079595
7,2018-01-08,0.5444341715976332
8,2018-01-09,0.5749730332899385
9,2018-01-10,0.682668513388735
10,2018-01-11,0.5768839779005525
11,2018-01-12,0.4289924340284186
12,2018-01-13,0.447100482017056
13,2018-01-14,0.3976604444444444
14,2018-01-15,0.41058812684365786
15,2018-01-16,0.403804780876494
16,2018-01-17,0.371362167982771
17,2018-01-18,0.386616986891722
18,2018-01-19,0.3282902374670184
19,2018-01-20,0.30254214200578916
20,2018-01-21,0.2278760757314974
21,2018-01-22,0.20342682304946455
22,2018-01-23,0.2439979654120041
23,2018-01-24,0.2168411340379131
24,2018-01-25,0.17909644670050762
25,2018-01-26,0.16222656514382403
26,2018-01-27,0.1359866755496336
27,2018-01-28,0.1475524347681569
28,2018-01-29,0.21520506329113923
29,2018-01-30,0.1811113004942901
30,2018-01-31,0.18165051844297125
31,2018-02-01,0.2683887158186224
32,2018-02-02,0.20502131287297526
33,2018-02-03,0.14856487527205756
34,2018-02-04,0.14174010067114096
35,2018-02-05,0.14493112033195021
36,2018-02-06,0.15620519743503206
37,2018-02-07,0.14385117537628953
38,2018-02-08,0.10908830389870043
39,2018-02-09,0.11827729110512131
40,2018-02-10,0.1265353703088675
41,2018-02-11,0.10851267842149455
42,2018-02-12,0.10812699747687132
43,2018-02-13,0.10586253143336127
44,2018-02-14,0.10956262798634811
45,2018-02-15,0.10636892390211197
46,2018-02-16,0.10097045988586774
47,2018-02-17,0.11245344599072232
48,2018-02-18,0.12803225267379678
49,2018-02-19,0.11125449304849103
50,2018-02-20,0.12821069831441348
51,2018-02-21,0.1267409813643358
52,2018-02-22,0.10466882342925252
53,2018-02-23,0.10570553493081337
54,2018-02-24,0.10714358974358976
55,2018-02-25,0.0937101399795152
56,2018-02-26,0.0941430294675168
57,2018-02-27,0.09623103154305201
58,2018-02-28,0.1270072906069854
59,2018-03-01,0.09716941656744346
60,2018-03-02,0.1244973724360061
61,2018-03-03,0.08555387460077324
62,2018-03-04,0.09418840333276654
63,2018-03-05,0.10772608326253186
64,2018-03-06,0.08762207130730051
65,2018-03-07,0.10314843617920541
66,2018-03-08,0.09232137978142077
67,2018-03-09,0.08490708714818583
68,2018-03-10,0.06744968606821652
69,2018-03-11,0.060697163001510825
70,2018-03-12,0.08817138931822084
71,2018-03-13,0.0667913043478261
72,2018-03-14,0.07215283244908437
73,2018-03-15,0.06692348240095222
74,2018-03-16,0.07103835755322745
75,2018-03-17,0.053324624316939885
76,2018-03-18,0.06131602899039272
77,2018-03-19,0.06325348095957055
78,2018-03-20,0.0637554958885719
79,2018-03-21,0.07460835861139198
80,2018-03-22,0.07089790488859328
81,2018-03-23,0.07541823056300269
82,2018-03-24,0.0628717398481347
83,2018-03-25,0.0554390770252324
84,2018-03-26,0.07238324450366422
85,2018-03-27,0.06090393381732231
86,2018-03-28,0.061770549672213806
87,2018-03-29,0.06620402249872168
88,2018-03-30,0.05949696867632199
89,2018-03-31,0.046473223140495866
90,2018-04-01,0.041719913563829786
91,2018-04-02,0.05062963570725303
92,2018-04-03,0.05537056176029338
93,2018-04-04,0.047200633227795365
94,2018-04-05,0.08064052179656539
95,2018-04-06,0.05823087093042473
96,2018-04-07,0.04012316085303356
97,2018-04-08,0.04662165731264444
98,2018-04-09,0.05128240200166806
99,2018-04-10,0.048216696854931664
100,2018-04-11,0.05468332774236834
101,2018-04-12,0.06423821634452356
102,2018-04-13,0.07467043727840621
103,2018-04-14,0.05357816461044448
104,2018-04-15,0.04938541842060953
105,2018-04-16,0.05629989885367499
106,2018-04-17,0.06166906598114825
107,2018-04-18,0.07274909404659188
108,2018-04-19,0.07660464716006885
109,2018-04-20,0.07786754155730533
110,2018-04-21,0.05912119666836648
111,2018-04-22,0.06059928837682141
112,2018-04-23,0.06763573407202216
113,2018-04-24,0.0836555944055944
114,2018-04-25,0.07825369542798213
115,2018-04-26,0.07899488665416737
116,2018-04-27,0.08519075953797689
117,2018-04-28,0.09084176439698932
118,2018-04-29,0.0937251842962455
119,2018-04-30,0.09898148148148149
120,2018-05-01,0.07912113127001068
121,2018-05-02,0.08339478291316527
122,2018-05-03,0.10029044182362261
123,2018-05-04,0.09689488636363637
124,2018-05-05,0.07466643441909075
125,2018-05-06,0.06652333853895541
126,2018-05-07,0.07604592973436161
127,2018-05-08,0.08655563306592257
128,2018-05-09,0.09118342059336823
129,2018-05-10,0.12974608481435862
130,2018-05-11,0.1255000869414015
131,2018-05-12,0.08663173444560307
132,2018-05-13,0.0906361111111111
133,2018-05-14,0.11839198297268536
134,2018-05-15,0.11749790648988136
135,2018-05-16,0.127214526129318
136,2018-05-17,0.13853629032258066
137,2018-05-18,0.13265791341376862
138,2018-05-19,0.11838372300553275
139,2018-05-20,0.10716341722793336
140,2018-05-21,0.1201317038860559
141,2018-05-22,0.13747509373326194
142,2018-05-23,0.1380848806366048
143,2018-05-24,0.12921463239259393
144,2018-05-25,0.12214338952972495
145,2018-05-26,0.104281342892114
146,2018-05-27,0.09703922612708556
147,2018-05-28,0.1512375525946704
148,2018-05-29,0.14616392281819793
149,2018-05-30,0.15462364057764308
150,2018-05-31,0.19017708517797058
151,2018-06-01,0.15571888335704126
152,2018-06-02,0.10705806107954545
153,2018-06-03,0.1051601708489055
154,2018-06-04,0.13022232016925248
