,date,counts
266,2018-09-24,6075
267,2018-09-25,6113
268,2018-09-26,6112
269,2018-09-27,6081
270,2018-09-28,6098
271,2018-09-29,6095
272,2018-09-30,6114
273,2018-10-01,6095
274,2018-10-02,6180
275,2018-10-03,6075
276,2018-10-04,6146
277,2018-10-05,6099
278,2018-10-06,6222
279,2018-10-07,6241
280,2018-10-08,6179
281,2018-10-09,6149
282,2018-10-10,6168
283,2018-10-11,6143
284,2018-10-12,6170
285,2018-10-13,6176
286,2018-10-14,6182
287,2018-10-15,6095
288,2018-10-16,6114
289,2018-10-17,6130
290,2018-10-18,6142
291,2018-10-19,6065
292,2018-10-20,6158
293,2018-10-21,6124
294,2018-10-22,6065
295,2018-10-23,6168
296,2018-10-24,6124
297,2018-10-25,6123
298,2018-10-26,6122
299,2018-10-27,6100
300,2018-10-28,6137
301,2018-10-29,6111
302,2018-10-30,6043
303,2018-10-31,6157
304,2018-11-01,6069
305,2018-11-02,6069
306,2018-11-03,6119
307,2018-11-04,6109
308,2018-11-05,6075
309,2018-11-06,6064
310,2018-11-07,6144
311,2018-11-08,6066
312,2018-11-09,6091
313,2018-11-10,6113
314,2018-11-11,6121
315,2018-11-12,6171
316,2018-11-13,6095
317,2018-11-14,6071
318,2018-11-15,6073
319,2018-11-16,6182
320,2018-11-17,6112
321,2018-11-18,6159
322,2018-11-19,5999
323,2018-11-20,6028
324,2018-11-21,6136
325,2018-11-22,6063
326,2018-11-23,6119
327,2018-11-24,6119
328,2018-11-25,6154
329,2018-11-26,6071
330,2018-11-27,5995
331,2018-11-28,6026
332,2018-11-29,6121
333,2018-11-30,6046
334,2018-12-01,6057
335,2018-12-02,6061
336,2018-12-03,6033
337,2018-12-04,6039
338,2018-12-05,6017
339,2018-12-06,6056
340,2018-12-07,5972
341,2018-12-08,6023
342,2018-12-09,6097
343,2018-12-10,6176
344,2018-12-11,5984
345,2018-12-12,6076
346,2018-12-13,6097
347,2018-12-14,6014
348,2018-12-15,6115
349,2018-12-16,6039
350,2018-12-17,5891
351,2018-12-18,5861
352,2018-12-19,5849
353,2018-12-20,5853
354,2018-12-21,5837
355,2018-12-22,5925
356,2018-12-23,5865
357,2018-12-24,5927
358,2018-12-25,5967
359,2018-12-26,5961
360,2018-12-27,5893
361,2018-12-28,5907
362,2018-12-29,5960
363,2018-12-30,5886
364,2018-12-31,5921
