,date,avg_fees
0,2018-01-01,3.009057926025641
1,2018-01-02,3.796286410877193
2,2018-01-03,4.775066704394905
3,2018-01-04,4.632506516488095
4,2018-01-05,4.904587558391609
5,2018-01-06,4.133797057380953
6,2018-01-07,4.235271620308642
7,2018-01-08,4.183894009036145
8,2018-01-09,4.587915870731708
9,2018-01-10,4.339311451024097
10,2018-01-11,3.6136830753367875
11,2018-01-12,3.4698640121910116
12,2018-01-13,3.5467538323489936
13,2018-01-14,3.169835256967742
14,2018-01-15,3.4007841186
15,2018-01-16,3.81372616408805
16,2018-01-17,4.042495128862276
17,2018-01-18,3.7970955800578037
18,2018-01-19,2.978727238121212
19,2018-01-20,2.4123775140449437
20,2018-01-21,1.8361641512834224
21,2018-01-22,1.8839074219760479
22,2018-01-23,1.6155819501694915
23,2018-01-24,1.6107846532386363
24,2018-01-25,1.3978130787341774
25,2018-01-26,1.3492401029677419
26,2018-01-27,1.071685946624204
27,2018-01-28,0.9831952893670886
28,2018-01-29,0.9848049271621622
29,2018-01-30,0.9598856518562875
30,2018-01-31,1.3863780876923077
31,2018-02-01,1.33767215575
32,2018-02-02,1.6331106097023809
33,2018-02-03,0.929922590949367
34,2018-02-04,0.6253747085393259
35,2018-02-05,0.9392837940540542
36,2018-02-06,0.9662940335882352
37,2018-02-07,0.8760361062411347
38,2018-02-08,0.6716412556488549
39,2018-02-09,0.654550009111111
40,2018-02-10,0.6209486446153846
41,2018-02-11,0.41036148
42,2018-02-12,0.4215042827710843
43,2018-02-13,0.41812959097560976
44,2018-02-14,0.356192565698324
45,2018-02-15,0.48916072511450376
46,2018-02-16,0.3710645506369427
47,2018-02-17,0.32643458979865775
48,2018-02-18,0.27520543709876544
49,2018-02-19,0.31424760432098764
50,2018-02-20,0.3704306790780142
51,2018-02-21,0.2407252521301775
52,2018-02-22,0.2523639506711409
53,2018-02-23,0.4996493644594595
54,2018-02-24,0.6628115106896552
55,2018-02-25,0.24234270777777778
56,2018-02-26,0.32759114460992905
57,2018-02-27,0.3159111671875
58,2018-02-28,0.3309618604516129
59,2018-03-01,0.3154893698181818
60,2018-03-02,0.2693190373076923
61,2018-03-03,0.21090999466666666
62,2018-03-04,0.2261206889864865
63,2018-03-05,0.29886832563758386
64,2018-03-06,0.2387181541666667
65,2018-03-07,0.22189621910828028
66,2018-03-08,0.21994321407407408
67,2018-03-09,0.2386708315068493
68,2018-03-10,0.2876658834285714
69,2018-03-11,0.25889139718954246
70,2018-03-12,0.2078747498757764
71,2018-03-13,0.3840271439873418
72,2018-03-14,0.25722476784722226
73,2018-03-15,0.25448783534722225
74,2018-03-16,0.1900754533333333
75,2018-03-17,0.1443987733557047
76,2018-03-18,0.1677678028476821
77,2018-03-19,0.19858483116129033
78,2018-03-20,0.2470793661417323
79,2018-03-21,0.20411364736842105
80,2018-03-22,0.19387963986013987
81,2018-03-23,0.1974261154887218
82,2018-03-24,0.13951916012820512
83,2018-03-25,0.1498627782962963
84,2018-03-26,0.17990045093333334
85,2018-03-27,0.18098869236842105
86,2018-03-28,0.17846469296296294
87,2018-03-29,0.17895545210526315
88,2018-03-30,0.15904116851851852
89,2018-03-31,0.156831845078125
90,2018-04-01,0.11285065086419753
91,2018-04-02,0.1371313033974359
92,2018-04-03,0.1541674755214724
93,2018-04-04,0.16883669176870747
94,2018-04-05,0.15681368955128205
95,2018-04-06,0.250227419057971
96,2018-04-07,0.15091997183333333
97,2018-04-08,0.13054250204968945
98,2018-04-09,0.1525447362585034
99,2018-04-10,0.1401735599390244
100,2018-04-11,0.14132628211180126
101,2018-04-12,0.23187797967532467
102,2018-04-13,0.2203840106060606
103,2018-04-14,0.17342624583941607
104,2018-04-15,0.1491105026993865
105,2018-04-16,0.18248674319148936
106,2018-04-17,0.1613399924691358
107,2018-04-18,0.158237352625
108,2018-04-19,0.15546226910112357
109,2018-04-20,0.21184645153284673
110,2018-04-21,0.17865346905660376
111,2018-04-22,0.13587185525
112,2018-04-23,0.19041678862745098
113,2018-04-24,0.41138908301886795
114,2018-04-25,0.7457920027642276
115,2018-04-26,0.4793497515602837
116,2018-04-27,0.39176412647887326
117,2018-04-28,0.3277115015625
118,2018-04-29,0.22079898860759495
119,2018-04-30,0.23689749464516127
120,2018-05-01,0.20099937835443038
121,2018-05-02,0.27776314392857143
122,2018-05-03,0.2609314679470199
123,2018-05-04,0.2853517136956522
124,2018-05-05,0.19986531037267083
125,2018-05-06,0.22833546255474454
126,2018-05-07,0.23933428413333332
127,2018-05-08,0.246720401294964
128,2018-05-09,0.1908098120625
129,2018-05-10,0.1734531098051948
130,2018-05-11,0.304032312992126
131,2018-05-12,0.17205057
132,2018-05-13,0.15769315013513513
133,2018-05-14,0.2671040965909091
134,2018-05-15,0.25914209787671233
135,2018-05-16,0.18077602212290506
136,2018-05-17,0.4095247955303031
137,2018-05-18,0.47391859540540543
138,2018-05-19,0.20405133318181817
139,2018-05-20,0.173535816875
140,2018-05-21,0.19929397891719744
141,2018-05-22,0.1756565113245033
142,2018-05-23,0.19024846530864198
143,2018-05-24,0.20806732734265734
144,2018-05-25,0.17259638267045455
145,2018-05-26,0.13897580950617283
146,2018-05-27,0.1187249525
147,2018-05-28,0.18669237121794874
148,2018-05-29,0.2060204479856115
149,2018-05-30,0.130242171954023
150,2018-05-31,0.12737731000000002
151,2018-06-01,0.12273955638554217
152,2018-06-02,0.10709486947368421
153,2018-06-03,0.09391045276073619
154,2018-06-04,0.11317351213114753
155,2018-06-05,0.1058758836
156,2018-06-06,0.1323671537414966
